DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
ANTH,122,INTERPERSONAL COMMUNICATION,"Lynton,Jordan Yejide",24,25,3.242,3.063,45.8,37.5,16.7,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Bush,Leigh Elizabeth",17,17,3.1,2.954,35.3,41.2,23.5,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Valenzuela,Robin Elizabeth",19,28,3.195,2.835,42.1,42.1,10.5,5.3,5
ANTH,122,INTERPERSONAL COMMUNICATION,"Valenzuela,Robin Elizabeth",18,23,3.244,3.028,44.4,50,0,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Bossenger,Alyssa",15,17,3.347,3.051,60,26.7,13.3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Bossenger,Alyssa",11,12,3.045,2.824,36.4,45.5,18.2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Cotofana,Alexandra",22,31,3.855,3.077,90.9,9.1,0,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Hale,Matthew Lee",24,24,3.558,2.955,66.7,25,8.3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Upton,Christopher",22,25,3.123,2.986,27.3,59.1,13.6,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Cotofana,Alexandra",24,25,3.933,3.314,95.8,4.2,0,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Hale,Matthew Lee",24,26,3.638,3.09,66.7,29.2,4.2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Upton,Christopher",22,30,3.105,2.974,27.3,54.5,18.2,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Pullum,Lindsey B",18,21,3.261,2.927,38.9,50,11.1,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Bradford,Lewis Addison",11,14,2.764,2.677,27.3,45.5,18.2,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Bradford,Lewis Addison",7,8,3,2.778,28.6,42.9,28.6,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Pullum,Lindsey B",9,16,3.333,2.922,33.3,66.7,0,0,3
ANTH,200,TOPICS ANTH CULTURE AND SOC,"Mierxiati,Alifu",25,32,3.508,3.197,76,20,0,0,1
ANTH,200,TOPICS ANTH CULTURE AND SOC,"Bahovadinova,Malika",11,22,2.855,2.791,18.2,54.5,27.3,0,2
ANTH,200,TOPICS ANTH CULTURE AND SOC,"Palmer,Fileve Tlaloc",24,29,3.667,3.275,91.7,4.2,0,0,0
ANTH,208,ANTH:ARTS&EXPRESSIVE BEHAVIOR,"Bulakh,Tetiana",27,36,3.696,3.193,63,37,0,0,0
ANTH,208,ANTH:ARTS&EXPRESSIVE BEHAVIOR,"Vlasenko,Polina",23,38,3.417,3.154,65.2,26.1,4.3,4.3,3
ANTH,211,ANTH: TOPICS IN THE SCIENCES,"Schoenemann,P. Thomas",28,33,3.143,3.091,28.6,53.6,14.3,0,3
ANTH,403,INTRODUCTION TO MUSEUM STUDIES,"Kirk,Judith A",27,30,3.463,3.289,66.7,25.9,3.7,0,1
ANTH,410,ANTHROPOLOGY CAPSTONE SEMINAR,"Lesourd,Philip Stanley",13,22,3.608,3.375,61.5,30.8,7.7,0,2
ANTH,420,UGRD TEACHING PRACTICUM,"King,Stacie Marie",16,17,3.981,3.29,100,0,0,0,0
ANTH,495,INDIVIDUAL READINGS IN ANTH,"Sept,Jeanne M",15,19,3.98,3.673,100,0,0,0,0
ANTH,521,INTERNSHIP-TEACHING ANTH,"Robinson,Jennifer Meta",11,12,3.891,3.888,100,0,0,0,0
ANTH,200,BIOANTHROPOLOGY,"Bunce,John Andrew",170,192,3.232,3.175,48.2,38.2,7.6,2.4,14
ANTH,200,BIOANTHROPOLOGY,"Singh,Evanna Indera",30,36,3.33,3.132,43.3,43.3,13.3,0,0
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Krupa,Krystiana L",14,16,2.679,2.904,28.6,42.9,14.3,7.1,1
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Leach,Savannah",14,17,3.586,3.342,78.6,14.3,7.1,0,1
ANTH,310,BIOANTHROPOL: A HIST OF IDEAS,"Cook,Della C.",18,33,3.283,3.005,50,44.4,0,0,3
ANTH,400,UNDERGRADUATE SEMINAR,"Schoenemann,P. Thomas",12,14,3.733,3.372,83.3,16.7,0,0,0
ANTH,466,THE PRIMATES,"Hunt,Kevin D.",8,12,3.875,3.136,87.5,12.5,0,0,0
ANTH,545,NUTRITIONAL ANTHROPOLOGY,"Wiley,Andrea S.",10,11,3.87,3.845,90,10,0,0,0
ANTH,200,SOCIAL & CULTURAL ANTHROPOLOGY,"Seizer,Susan Amy",84,97,3.33,3.045,59.5,29.8,6,1.2,2
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Osterhoudt,Sarah Rae",26,33,3.673,3.019,61.5,38.5,0,0,0
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Gantt,Sean",10,15,3.34,3.152,50,40,10,0,2
ANTH,321,PEOPLES OF MEXICO,"Royce,Anya Peterson",18,25,3.756,3.128,72.2,27.8,0,0,3
ANTH,421,FOOD AND CULTURE,"Wilk,Richard R.",22,24,3.041,3.102,22.7,63.6,9.1,0,2
ANTH,437,POWER & VIOLENCE IN ETHN PERSP,"Goodman,Jane E.",24,32,3.346,3.18,50,41.7,4.2,0,2
ANTH,444,PEOPLE AND PROTECTED AREAS,"Osterhoudt,Sarah Rae",12,14,3.167,3.101,50,33.3,8.3,0,2
ANTH,460,THE ARTS IN ANTHROPOLOGY,"Royce,Anya Peterson",11,15,3.845,3.139,81.8,18.2,0,0,3
ANTH,527,ENVIRONMENTAL ANTHROPOLOGY,"Brondizio,Eduardo Sonnewend",9,9,3.9,3.868,100,0,0,0,0
