DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AMID,450,PROFILING THE APPAREL CUSTOMER,"Lennon,Sharron J.",25,26,3.036,3.025,16,68,16,0,0
AMID,492,TOPICS IN APPAREL MERCHANDISNG,"Zhao,Li",29,31,3.3,2.845,69,10.3,10.3,3.4,1
AMID,492,TOPICS IN APPAREL MERCHANDISNG,"Hasty,Ashley",8,8,4,3.275,100,0,0,0,0
AMST,100,WHAT IS AMERICA?,"Reynolds,Caitlin",39,45,3.782,3.111,82.1,17.9,0,0,1
AMST,100,WHAT IS AMERICA?,"Fudickar,Carrie Jane",40,43,3.563,3.133,67.5,27.5,2.5,2.5,0
AMST,100,WHAT IS AMERICA?,"Mitchel,Courtney Hannah",39,41,3.638,3.324,74.4,20.5,5.1,0,1
AMST,100,WHAT IS AMERICA?,"Cruz Rios,Yari E",39,48,3.687,3.158,79.5,17.9,0,0,1
AMST,100,WHAT IS AMERICA?,"Anderson,Paul Allen",214,273,2.934,3.049,43,28.5,15.9,7.9,22
AMST,200,COMPARATIVE AMER IDENTITIES,"Inouye,Karen M",55,62,3,2.93,38.2,40,12.7,7.3,5
AMST,201,U.S. MOVEMENTS & INSTITUTIONS,"Kendall,Nzingha",12,20,3.525,2.984,66.7,16.7,16.7,0,2
AMST,202,U.S. ARTS AND MEDIA,"Anderson,Paul Allen",29,58,3.041,2.882,24.1,65.5,6.9,3.4,11
AMST,300,IMAGE OF AMERICA IN THE WORLD,"Frazier,Lessie Jo",17,23,3.053,2.78,41.2,41.2,11.8,5.9,1
AMST,399,ADVANCED TOPICS S&H FOR AMST,"McGerr,Michael Edward",7,9,3.629,3.31,71.4,28.6,0,0,1
AMST,605,INTR NATIVE AMER&INDIG STDS,"Snyder,Christina",6,8,3.95,3.809,100,0,0,0,0
AMST,753,INDEPENDENT STUDY,"Walters,Pamela B.",6,6,4,3.947,100,0,0,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",36,48,2.589,3.322,38.9,27.8,5.6,13.9,1
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",33,47,2.597,3.241,27.3,30.3,24.2,12.1,5
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",39,44,2.667,3.288,33.3,25.6,20.5,15.4,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",36,41,2.275,3.201,27.8,22.2,19.4,16.7,1
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",34,40,2.653,3.287,35.3,23.5,23.5,11.8,3
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",35,43,2.191,3.054,14.3,31.4,22.9,22.9,3
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",38,48,2.495,3.154,31.6,23.7,23.7,7.9,2
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",39,45,2.71,3.319,28.2,33.3,25.6,7.7,1
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",37,44,2.768,3.169,32.4,32.4,24.3,2.7,2
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",39,43,2.944,3.201,41,28.2,23.1,2.6,1
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",36,40,2.639,3.256,25,38.9,22.2,2.8,2
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",34,44,2.659,3.332,29.4,35.3,14.7,5.9,3
ANAT,464,HUMAN TISSUE BIOLOGY,"Foley,John G",45,53,2.96,3.317,40,26.7,28.9,2.2,2
ANAT,480,ANATOMY FOR MEDICAL IMAGING,"O'Loughlin,Valerie D",30,31,3.07,3.234,36.7,36.7,26.7,0,1
ANAT,580,ANATOMY FOR MEDICAL IMAGING,"O'Loughlin,Valerie D",7,7,3.829,3.626,100,0,0,0,0
ANAT,800,RESEARCH IN ANATOMY,"Foley,John G",6,6,4,3.656,100,0,0,0,0
ANAT,850,TOPICAL SEMINAR IN ANATOMY,"O'Loughlin,Valerie D",8,8,3.963,3.668,100,0,0,0,0
ANTH,107,BECOMING HUMAN: EVOLUTION,"Sept,Jeanne M",79,99,2.57,2.888,13.9,53.2,13.9,13.9,12
ANTH,122,INTERPERSONAL COMMUNICATION,"Bush,Leigh Elizabeth",21,27,3.371,3.179,52.4,38.1,9.5,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Cotofana,Alexandra",23,24,3.809,3.058,91.3,8.7,0,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Upton,Christopher",20,25,2.54,2.641,20,55,5,5,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Upton,Christopher",23,24,3.13,3.163,21.7,69.6,8.7,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Bradford,Lewis Addison",22,28,2.982,2.906,22.7,59.1,13.6,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Bradford,Lewis Addison",22,28,2.741,2.932,22.7,31.8,40.9,4.5,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Lynton,Jordan Yejide",23,25,3.057,3.043,30.4,52.2,13,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Lynton,Jordan Yejide",22,28,2.732,2.835,22.7,54.5,9.1,4.5,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Cotofana,Alexandra",22,30,3.55,3.02,81.8,9.1,0,4.5,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Valenzuela,Robin Elizabeth",20,24,2.305,2.701,25,35,10,10,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Bush,Leigh Elizabeth",21,26,3.319,3.1,38.1,57.1,4.8,0,3
ANTH,122,INTERPERSONAL COMMUNICATION,"Pullum,Lindsey B",24,25,2.804,3.005,29.2,37.5,25,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Pullum,Lindsey B",23,25,3.091,3.106,34.8,52.2,8.7,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Luketa,Valentina",24,25,3.35,2.87,41.7,54.2,4.2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Bossenger,Alyssa",21,27,3.324,2.989,52.4,33.3,14.3,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Bossenger,Alyssa",8,15,3,3.201,37.5,50,0,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Luketa,Valentina",24,27,3.2,2.831,41.7,45.8,8.3,4.2,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Valenzuela,Robin Elizabeth",12,17,2.667,2.65,33.3,41.7,0,8.3,2
ANTH,200,TOPICS ANTH CULTURE AND SOC,"Ketchum,Sheena A",20,26,3.52,2.817,65,30,0,5,0
ANTH,208,ANTH:ARTS&EXPRESSIVE BEHAVIOR,"Herstad,Kaeleigh Lynn Marie",28,36,3.825,3.163,92.9,3.6,0,3.6,2
ANTH,211,ANTH: TOPICS IN THE SCIENCES,"Deimel,Caroline",29,34,3.814,3.256,96.6,0,0,3.4,0
ANTH,408,MUSEUM PRACTICUM,"Jackson,Jason Baird",13,14,4,3.328,100,0,0,0,0
ANTH,410,ANTHROPOLOGY CAPSTONE SEMINAR,"Buggenhagen,Beth Anne",15,22,3.807,3.134,86.7,13.3,0,0,1
ANTH,420,UGRD TEACHING PRACTICUM,"Scheiber,Laura Lee",10,10,4,3.645,100,0,0,0,0
ANTH,495,INDIVIDUAL READINGS IN ANTH,"Sept,Jeanne M",12,15,4,3.76,100,0,0,0,0
ANTH,200,BIOANTHROPOLOGY,"Hunt,Kevin D.",124,137,3.093,3.036,44.4,29.8,21,4,6
ANTH,200,BIOANTHROPOLOGY,"Krupa,Krystiana L",29,33,3.266,3.124,55.2,27.6,10.3,3.4,1
ANTH,260,BIOCULTURAL MEDICAL ANTHROPLGY,"Bunce,John Andrew",18,21,3.95,3.37,100,0,0,0,2
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Wojcik,Paige Violet",17,18,3.488,3.129,47.1,52.9,0,0,0
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Riley,Jenny Marie",9,10,3.7,3.045,66.7,33.3,0,0,0
ANTH,370,HUMAN VARIATION,"Kaestle,Frederika Ann",87,98,3.607,3.234,74.7,13.8,10.3,1.1,1
ANTH,400,UNDERGRADUATE SEMINAR,"Schoenemann,P. Thomas",7,7,3.714,3.381,71.4,28.6,0,0,0
ANTH,464,HUMAN PALAEONTOLOGY,"Hunt,Kevin D.",10,10,3.83,3.217,80,20,0,0,0
ANTH,472,BIOANTH OF ABORIGINAL AMERICA,"Cook,Della C.",10,25,3.06,2.956,40,40,10,0,3
ANTH,544,WOMEN'S BODIES,"Vitzthum,Virginia J.",7,9,3.957,3.897,100,0,0,0,1
ANTH,602,PALEOPATHOLOGY,"Cook,Della C.",7,8,4,3.713,100,0,0,0,0
ANTH,101,SUSTAINABILITY AND SOCIETY,"Osterhoudt,Sarah Rae",30,33,3.503,3.178,73.3,20,0,0,0
ANTH,200,SOCIAL & CULTURAL ANTHROPOLOGY,"Sterling,Marvin Dale",59,69,3.081,3.102,42.4,37.3,16.9,0,5
ANTH,251,POST-TALIBN AFGHAN&WAR TERROR,"Shahrani,Nazif Mohib",20,22,2.655,2.886,25,40,20,10,2
ANTH,260,"CULTURE, HEALTH AND ILLNESS","Vlasenko,Polina",25,32,3.392,3.212,72,16,4,0,3
ANTH,400,UNDERGRADUATE SEMINAR,"Royce,Anya Peterson",17,19,3.829,3.377,88.2,11.8,0,0,1
ANTH,485,ART & CRAFT OF ETHNOGRAPHY,"Royce,Anya Peterson",18,40,3.444,3.049,61.1,22.2,16.7,0,4
ANTH,500,PROSEMINAR CULTURAL & SOC ANTH,"Friedman,Sara Lizbeth",8,10,3.888,3.895,100,0,0,0,0
ANTH,502,INTRODUCTION TO PERFORMANCE,"Seizer,Susan Amy",6,8,3.8,3.87,100,0,0,0,0
ANTH,600,SEMINAR CULTURAL & SOCIAL ANTH,"Brondizio,Eduardo Sonnewend",8,9,3.925,3.891,100,0,0,0,0
ANTH,606,RES METH IN CULTURAL ANTH,"Osterhoudt,Sarah Rae",13,15,3.977,3.852,100,0,0,0,0
ANTH,200,LANGUAGE AND CULTURE,"Suslak,Daniel Frank",55,66,3.275,3.185,49.1,38.2,7.3,3.6,4
ANTH,502,ANTHROPOLOGICAL LINGUISTICS 2,"Lesourd,Philip Stanley",6,6,3.733,3.685,83.3,16.7,0,0,0
ANTH,200,INTRODUCTION TO ARCHAEOLOGY,"Alt,Susan M",33,37,3.224,3.265,36.4,57.6,3,0,1
ANTH,370,CIVILIZATIONS OF THE ANDES,"Sievert,April K.",23,28,3.291,3.172,34.8,60.9,4.3,0,1
ANTH,380,PREHISTORIC DIET & NUTRITION,"Sept,Jeanne M",54,59,3.163,3.044,46.3,38.9,11.1,0,1
ANTH,390,GEOARCHAEOLOGY,"Herrmann,Edward William",21,22,3.4,3.113,47.6,47.6,4.8,0,1
ANTH,406,LABORATORY MTHD IN ARCHAELOGY,"Scheiber,Laura Lee",6,7,3.6,3.56,50,50,0,0,1
ANTH,411,ARCHAEOLOGY OF RELIGION,"Alt,Susan M",18,24,2.644,3.093,22.2,33.3,33.3,5.6,2
ANTH,502,ARCHAEOLOGICAL RESEARCH DESIGN,"King,Stacie Marie",10,11,3.8,3.819,80,20,0,0,1
ASCS,377,THE ART OF MEANINGFUL WORK,"Johnson,Elaine Erica",19,24,3.553,2.923,63.2,36.8,0,0,0
AST,100,THE SOLAR SYSTEM,"Patel,Saahil Sunil",41,51,3.293,3.131,51.2,36.6,7.3,0,1
AST,103,SEARCH FOR LIFE THE UNIVERSE,"Steiman-Cameron,Thomas Y",212,252,3.045,2.997,34.9,42,16.5,5.2,12
AST,105,STARS AND GALAXIES,"Vesperini,Enrico",165,207,2.805,3.02,30.3,35.2,23,7.3,13
AST,105,STARS AND GALAXIES,"Lugger,Phyllis M.",221,256,2.778,3.048,28.5,36.7,24.9,7.7,11
AST,105,STARS AND GALAXIES,"Cohn,Haldan Neal",216,255,2.586,2.865,29.6,26.9,27.3,7.4,14
AST,222,GENERAL ASTRONOMY II,"van Zee,Liese",10,16,2.68,3.182,20,60,10,0,5
AST,451,STELLAR ASTROPHYSICS,"Deliyannis,Constantine P.",7,9,3.257,3.449,57.1,28.6,14.3,0,1
AST,540,STELLAR ATMOSPHERES,"Pilachowski,Catherine A.",8,9,3.925,3.525,100,0,0,0,1
AST,580,PHYS & OBSERV COSMOLOGY,"Mufson,Stuart Lee",11,11,3.555,3.68,63.6,36.4,0,0,0
BIOC,580,INTRO TO BIOCHEMICAL RESEARCH,"Bauer,Carl E.",10,10,3.9,3.714,90,10,0,0,0
BIOL,300,VASCULAR PLANTS,"Knox,Eric",33,39,3.206,3.356,42.4,30.3,27.3,0,3
BIOL,901,ADVANCED RESEARCH,"Fuqua,Clay",8,53,4,3.906,100,0,0,0,0
BIOL,112,INTEGR FRESHMAN LRNG EXP II,"Hohmann,Andrea",10,10,3.65,3.814,80,20,0,0,0
