DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AFRI,101,ELEMENTARY AKAN I,"Adu-Amankwah,David",10,10,3.47,2.702,50,50,0,0,0
AFRI,231,AFRICAN CIVILIZATION,"Hanson,John Henry",45,50,2.967,2.703,33.3,42.2,20,0,3
AFRI,232,CONTEMPORARY AFRICA,"Bradford,Lewis Addison",28,35,3.154,3.037,46.4,32.1,14.3,3.6,2
AFRI,101,ELEMENTARY SWAHILI 1,"Nyamahanga,Richard Mathias",16,22,3.363,2.782,62.5,31.3,0,0,5
AFRI,101,ELEMENTARY SWAHILI 1,"Kavaya,Susan",20,22,3.685,2.945,85,15,0,0,0
AFRI,201,INTERMEDIATE SWAHILI 1,"Mwingira,Margaret Philip",11,11,3.973,3.021,100,0,0,0,0
AFRI,201,INTERMEDIATE SWAHILI 1,"Mwingira,Margaret Philip",16,18,3.4,3.251,50,43.8,6.3,0,0
AFRI,301,ADVANCED SWAHILI 1,"Omar,Alwiya Saleh",9,10,3.967,3.383,100,0,0,0,0
AFRI,101,ELEMENTARY YORUBA I,"Alabi,Victor Temitope",6,7,3.883,3.018,83.3,16.7,0,0,1
AFRI,101,ELEMENTARY ZULU I,"Dlamini,Betty Sibongile",16,18,3.8,2.884,87.5,12.5,0,0,1
AFRI,201,INTERMEDIATE ZULU I,"Dlamini,Betty Sibongile",7,8,4,2.725,100,0,0,0,1
AMST,100,WHAT IS AMERICA?,"Halloran,Vivian",148,171,3.618,3.308,68.9,25.7,4.7,.7,3
AMST,100,WHAT IS AMERICA?,"Holtzman,Dinah Elizabeth",131,172,3.402,3.053,58.8,33.6,5.3,2.3,10
AMST,150,INT NAT AM&INDIGENOUS STUDIES,"Fudickar,Carrie Jane",39,45,3.382,3.088,51.3,41,7.7,0,1
AMST,200,COMPARATIVE AMER IDENTITIES,"Holtzman,Dinah Elizabeth",37,42,3.67,3.206,81.1,13.5,2.7,0,2
AMST,201,U.S. MOVEMENTS & INSTITUTIONS,"Kendall,Nzingha",31,44,3.813,2.932,96.8,0,0,0,5
AMST,202,U.S. ARTS AND MEDIA,"Anderson,Paul Allen",29,51,2.686,2.793,31,24.1,37.9,3.4,12
AMST,300,IMAGE OF AMERICA IN THE WORLD,"Lee,Sonia Song-Ha",22,24,3.391,3.041,63.6,31.8,0,0,0
AMST,350,TOPICS: INTERDISCIPLINARY AMST,"Anderson,Paul Allen",20,31,2.62,2.885,15,45,30,10,6
AMST,100,AMERICAN EXPERIENCE,"Cunanan,Giselle Dejamco",14,20,3.621,2.929,64.3,35.7,0,0,2
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,38,2.767,3.265,24.2,39.4,27.3,6.1,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,41,2.627,3.243,27.3,24.2,33.3,15.2,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,41,2.67,3.219,36.4,24.2,21.2,9.1,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,38,1.876,2.977,6.1,27.3,27.3,24.2,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",29,38,2.886,3.176,34.5,37.9,13.8,10.3,7
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",32,41,2.853,3.339,31.3,43.8,15.6,6.3,4
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",35,39,2.631,3.226,28.6,34.3,17.1,14.3,1
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",30,37,2.87,3.178,26.7,43.3,23.3,6.7,4
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",35,39,2.674,3.279,34.3,31.4,17.1,8.6,2
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",30,43,2.763,3.214,33.3,30,26.7,6.7,5
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",31,43,2.413,3.068,19.4,22.6,45.2,9.7,4
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",32,37,2.791,3.165,34.4,31.3,18.8,9.4,2
ANAT,850,TOPICAL SEMINAR IN ANATOMY,"O'Loughlin,Valerie D",7,7,4,3.751,100,0,0,0,0
ANTH,107,BECOMING HUMAN: EVOLUTION,"Rollins,Amanda Ann",121,143,3.287,3.028,52.9,35.5,5.8,1.7,4
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",21,27,3.048,3.155,28.6,47.6,23.8,0,3
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,28,3.386,3.164,59.1,36.4,0,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,24,3.004,3.114,26.1,56.5,13,4.3,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",24,24,3.754,3.13,83.3,12.5,4.2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,27,3.617,3.022,82.6,13,0,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,24,3.7,2.936,91.3,0,4.3,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",16,26,3.675,3.018,75,25,0,0,7
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",24,24,3.617,2.965,66.7,33.3,0,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",21,27,3.867,3.041,95.2,4.8,0,0,3
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,25,3.805,2.984,81.8,18.2,0,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,25,3.291,2.987,54.5,31.8,9.1,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",21,26,2.971,3.15,19,66.7,9.5,4.8,3
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",24,26,3.317,3.063,50,41.7,8.3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,32,3.043,3.056,17.4,69.6,13,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,29,3.632,3.014,72.7,27.3,0,0,2
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,28,3.074,2.832,47.8,30.4,13,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,28,3.426,3.171,60.9,34.8,0,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,26,3.343,3.036,39.1,52.2,8.7,0,1
ANTH,205,ANTHROPOLOGY TODAY: TOPICS,"Graber,Kathryn E.",22,28,3.336,3.139,45.5,45.5,9.1,0,2
ANTH,211,ANTH: TOPICS IN THE SCIENCES,"Kaestle,Frederika Ann",27,30,3.819,3.293,85.2,14.8,0,0,1
ANTH,221,ANTHROPOLOGY OF FOOD,"Ellis,Aaron David",32,38,3.434,3.124,71.9,18.8,0,6.3,3
ANTH,403,INTRODUCTION TO MUSEUM STUDIES,"Kirk,Judith A",16,18,3.481,3.244,68.8,25,0,0,0
ANTH,521,INTERNSHIP-TEACHING ANTH,"Robinson,Jennifer Meta",7,7,3.8,3.917,71.4,28.6,0,0,0
ANTH,595,GRADUATE READINGS IN ANTH,"Wiley,Andrea S.",8,9,3.963,3.903,100,0,0,0,0
ANTH,200,BIOANTHROPOLOGY,"Rollins,Amanda Ann",186,196,3.333,3.163,54.8,32.8,7,2.7,5
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Emond,Riss",22,27,3.409,3.226,59.1,31.8,4.5,0,1
ANTH,340,HORMONES AND HUMAN BEHAVIOR,"Wasserman,Michael David",15,27,3.36,3.091,40,60,0,0,2
ANTH,368,EVOLUTN OF PRIMATE SOC BEHAVR,"Hunt,Kevin D.",32,37,2.906,3.019,25,50,25,0,3
ANTH,400,UNDERGRADUATE SEMINAR,"Cook,Della C.",7,13,3.914,3.342,100,0,0,0,2
ANTH,101,SUSTAINABILITY AND SOCIETY,"Brondizio,Eduardo Sonnewend",50,53,3.634,3.329,78,16,4,2,0
ANTH,200,SOCIAL & CULTURAL ANTHROPOLOGY,"Seizer,Susan Amy",40,56,2.785,2.982,42.5,22.5,17.5,7.5,6
ANTH,208,"GLOBAL JAZZ, REGGAE, & HIP HOP","Sterling,Marvin Dale",24,34,2.988,2.948,41.7,33.3,12.5,8.3,5
ANTH,251,POST-TALIBN AFGHAN&WAR TERROR,"Shahrani,Nazif Mohib",11,13,3.555,3.329,72.7,18.2,9.1,0,0
ANTH,260,"CULTURE, HEALTH AND ILLNESS","Phillips,Sarah Drue",43,52,2.83,2.99,39.5,27.9,14,14,3
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Lepselter,Susan Claudia",25,30,3.608,3.325,68,32,0,0,1
ANTH,318,NATURE/CULTURE: ENVIRNMTL ANTH,"Osterhoudt,Sarah Rae",25,32,3.616,3.291,68,28,4,0,0
ANTH,393,WORLD FICTION & CULTURAL ANTH,"Sterling,Marvin Dale",9,14,3.567,3.403,88.9,0,0,11.1,2
ANTH,400,UNDERGRADUATE SEMINAR,"Buggenhagen,Beth Anne",24,30,3.588,3.258,70.8,20.8,8.3,0,1
ANTH,413,GLOBAL AFRICA,"Buggenhagen,Beth Anne",6,14,3.883,3.222,83.3,16.7,0,0,4
ANTH,422,NATIVE AMER & INDIGENOUS MEDIA,"Lepselter,Susan Claudia",16,22,3.694,3.2,75,25,0,0,2
ANTH,444,PEOPLE AND PROTECTED AREAS,"Osterhoudt,Sarah Rae",22,22,3.441,3.133,59.1,31.8,4.5,4.5,0
ANTH,644,PEOPLE AND PROTECTED AREAS,"Osterhoudt,Sarah Rae",7,8,4,3.906,100,0,0,0,0
ANTH,500,HIST ANTH THGHT 19TH-20TH CENT,"Gershon,Ilana M.",8,9,3.838,3.855,87.5,12.5,0,0,1
ANTH,200,LANGUAGE AND CULTURE,"Suslak,Daniel Frank",62,69,3.289,3.077,58.1,29,6.5,0,3
ANTH,204,LANG AND (IN)TOLERANCE,"Lesourd,Philip Stanley",35,36,3.157,3.076,54.3,28.6,0,8.6,0
ANTH,400,SEM IN ETHNOGRAPHY OF COMM,"Graber,Kathryn E.",13,15,3.469,3.401,69.2,23.1,0,7.7,1
ANTH,600,SEMINAR IN ETHNOGRAPHY OF COMM,"Graber,Kathryn E.",9,11,3.967,3.94,100,0,0,0,1
ANTH,200,INTRODUCTION TO ARCHAEOLOGY,"King,Stacie Marie",36,42,3.169,3.101,52.8,19.4,22.2,5.6,2
ANTH,250,INTRODUCTORY WORLD ARCHAEOLOGY,"Alt,Susan M",53,59,2.843,2.923,37.7,34,15.1,1.9,3
ANTH,332,INDUSTRIAL ARCHAEOLOGY,"Sievert,April K.",22,26,3.455,3.026,59.1,36.4,0,0,2
ANTH,401,CULTURAL RESOURCE MANAGEMENT,"Alt,Susan M",10,11,3.3,3.033,50,30,20,0,0
ANTH,500,PROSEMINAR IN ARCHAEOLOGY,"Scheiber,Laura Lee",8,8,3.913,3.948,87.5,12.5,0,0,0
ARTH,101,ANCIENT AND MEDIEVAL ART,"Horne,Martin",63,73,2.571,2.916,27,30.2,23.8,11.1,3
ARTH,102,RENAISSANCE THROUGH MODERN ART,"Knox,Giles",83,95,3.075,3.133,38.6,39.8,16.9,2.4,3
ARTH,200,TOPICS IN ART HISTORY,"Wolfskill,Phoebe",9,13,3.044,3.186,22.2,66.7,11.1,0,3
ARTH,206,CLASSICAL ART & ARCHEOLOGY,"Van Voorhis,Julie",99,117,3.174,3.095,38.4,47.5,11.1,1,9
ARTH,226,ENVISIONING THE SACRED,"Bassett,Sarah E",20,30,2.515,3.085,10,50,25,10,7
ARTH,231,AGE OF GIANTS:LEONARDO/MICHELA,"Knox,Giles",90,105,3.108,3.077,52.2,24.4,14.4,3.3,5
ARTH,280,ART OF COMIC STRIPS,"Molotiu,Andrei",93,115,3.048,2.981,41.9,37.6,11.8,2.2,4
ARTH,300,TOPICS IN ART HISTORY,"Gealt,Adelheid M. M.",15,17,3.827,3.272,86.7,13.3,0,0,0
ARTH,315,THE BODY IN CLASSICAL ART,"Van Voorhis,Julie",24,29,3.154,3.068,45.8,41.7,4.2,0,0
ARTH,342,20TH CENTURY ART,"Saletnik,Jeffrey",41,63,2.954,3.099,31.7,43.9,17.1,4.9,12
ARTH,375,TOPICS IN ART THEORY,"Molotiu,Andrei",29,33,3.807,3.129,82.8,17.2,0,0,1
ARTH,393,MUSEUMS: DISPLAY OF CULTURE,"Graves,Margaret Susanna",30,35,3.263,3.312,40,46.7,10,3.3,0
ARTH,400,SENIOR SEMINAR,"Saletnik,Jeffrey",8,8,3.613,3.516,50,50,0,0,0
ARTH,410,TOPICS IN ANCIENT ART,"Blackwell,Nicholas George",6,9,3.067,3.302,16.7,83.3,0,0,0
ARTH,459,PAINTED IMAGE IN ISLAMIC WORLD,"Graves,Margaret Susanna",15,21,2.767,3.131,33.3,40,13.3,6.7,2
ARTH,490,TOPICS IN ART HISTORY,"Grewe,Cordula",18,29,3.383,3.199,33.3,66.7,0,0,5
ARTH,510,THEORIES & METHODS FROM 1900,"Rothstein,Bret",12,15,3.733,3.866,83.3,16.7,0,0,1
ARTH,626,PROBLEMS IN BYZANTINE ART,"Bassett,Sarah E",8,8,3.825,3.909,75,25,0,0,0
ARTH,640,PROBLEMS IN MODERN ART,"Grewe,Cordula",8,10,3.725,3.831,87.5,12.5,0,0,1
ARTH,640,PROBLEMS IN MODERN ART,"Molotiu,Andrei",8,10,4,3.641,100,0,0,0,0
ASCS,377,THE ART OF MEANINGFUL WORK,"Nevitt,Jessica Kathleen",23,25,3.791,2.949,87,13,0,0,0
AST,100,THE SOLAR SYSTEM,"Mufson,Stuart Lee",83,119,2.904,3.167,24.1,51.8,18.1,2.4,21
AST,100,THE SOLAR SYSTEM,"Deibel,Alex Thomas",127,138,3.222,2.983,47.2,34.6,16.5,0,3
AST,100,THE SOLAR SYSTEM,"Deibel,Alex Thomas",128,144,3.234,3.018,47.7,33.6,14.8,3.9,2
AST,105,STARS AND GALAXIES,"Salim,Samir",125,139,2.888,3.07,31.2,38.4,25.6,4.8,4
AST,105,STARS AND GALAXIES,"Cohn,Haldan Neal",199,231,2.797,3.031,34.2,32.2,24.6,5,5
AST,105,STARS AND GALAXIES,"Lugger,Phyllis M.",215,253,2.762,2.949,30.2,33.5,25.6,6,16
AST,107,THE ART OF ASTRONOMY,"van Zee,Liese",97,141,2.472,3.057,5.2,54.6,27.8,5.2,21
AST,221,GENERAL ASTRONOMY I,"Vesperini,Enrico",30,43,2.637,2.794,40,26.7,10,6.7,5
AST,305,MOD OBSERVATIONAL TECHNIQUES,"Salzer,John",21,22,3.324,3.251,47.6,42.9,9.5,0,0
AST,540,STELLAR ATMOSPHERES,"Pilachowski,Catherine A.",9,10,3.744,3.319,77.8,22.2,0,0,0
BIOC,501,INTEGRATED BIOCHEMISTRY,"Bochman,Matt L.",8,9,3.05,3.541,25,62.5,12.5,0,1
BIOC,502,ANALYSIS OF BIOCHEMICAL LIT,"Oakley,Martha Gray",8,9,3.363,3.625,25,75,0,0,0
BIOC,511,DUPLICATING/EXPRESSING GENOME,"Bell,Stephen David",13,13,2.931,3.642,7.7,84.6,7.7,0,0
BIOC,580,INTRO TO BIOCHEMICAL RESEARCH,"Bauer,Carl E.",6,6,4,3.549,100,0,0,0,0
BIOC,680,SPECIAL TOPICS IN BIOCHEMISTRY,"Bush,Karen",7,7,3.957,3.649,100,0,0,0,0
BIOL,371,ECOLOGICAL PLANT PHYSIOLOGY,"Hangarter,Roger P.",31,34,3.097,3.139,38.7,38.7,19.4,0,1
BIOL,901,ADVANCED RESEARCH,"Demas,Gregory",7,54,4,3.905,100,0,0,0,0
BIOL,111,INTEGR FRESHMAN LRNG EXP I,"Shaw,Sidney",14,14,3.914,3.945,100,0,0,0,0
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Bender,Alan David",38,57,3.463,3.201,63.2,28.9,5.3,2.6,4
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Chooi,Yean W",51,63,2.567,3.017,25.5,37.3,17.6,11.8,6
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Mojonnier,Laura Ellen",59,63,3.353,3.255,54.2,32.2,11.9,0,3
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Chooi,Yean W",51,57,2.547,3.028,17.6,35.3,31.4,13.7,3
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Wade,Michael J.",47,54,3.426,3.154,59.6,27.7,8.5,4.3,3
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Hengeveld,Susan E.",63,71,3.086,3.223,46,25.4,20.6,7.9,4
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Ragsdale,Erik",52,61,2.544,3.109,19.2,36.5,36.5,0,3
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Wade,Michael J.",115,129,3.354,3.18,58.3,25.2,11.3,4.3,5
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Hengeveld,Susan E.",180,203,2.801,3.062,32.8,35.6,18.3,7.8,11
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Zolan,Miriam E.",56,62,3.002,2.968,39.3,33.9,21.4,0,6
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Tennessen,Jason",188,210,3.461,3.321,59.6,29.3,9,2.1,7
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Whitworth,Karen Petree",105,125,2.944,3.09,37.1,33.3,21.9,5.7,15
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Tennessen,Jason",105,112,3.435,3.279,63.8,21,11.4,2.9,2
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Berndtson,Amy",126,144,3.01,3.136,43.7,29.4,16.7,6.3,12
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",25,27,3.26,3.391,48,40,8,4,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,26,3.583,3.548,70.8,20.8,4.2,4.2,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",22,31,2.832,3.266,40.9,27.3,18.2,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,25,3.454,3.221,70.8,20.8,4.2,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",22,26,3.341,3.417,59.1,27.3,9.1,4.5,2
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,24,3.47,3.444,69.6,21.7,4.3,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",25,26,3.628,3.364,64,36,0,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",25,26,3.756,3.383,88,8,4,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,29,3.278,3.104,43.5,43.5,13,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,27,3.261,3.347,43.5,39.1,17.4,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,25,3.463,3.398,54.2,41.7,4.2,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,27,3.367,3.292,58.3,33.3,4.2,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",26,26,3.65,3.548,76.9,19.2,3.8,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,25,3.629,3.457,70.8,25,4.2,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,26,3.483,3.497,65.2,21.7,13,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,26,3.654,3.451,70.8,25,4.2,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",25,27,3.936,3.55,96,4,0,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,28,3.13,3.162,39.1,52.2,0,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,27,3.433,3.288,45.8,54.2,0,0,0
BIOL,211,MOLECULAR BIOLOGY,"Mehta,Sapna",113,121,2.915,3.149,35.4,35.4,18.6,7.1,4
BIOL,211,MOLECULAR BIOLOGY,"Kehoe,David M.",154,172,2.927,3.46,41.6,28.6,18.8,5.2,6
BIOL,307,BIODIVERSITY,"Clay,Keith",24,25,3.271,3.357,33.3,54.2,12.5,0,0
BIOL,311,GENETICS,"Forrester,Wayne C.",133,152,2.857,3.337,34.6,35.3,18,7.5,13
BIOL,311,GENETICS,"Zelhof,Andrew C",41,46,2.898,3.302,39,29.3,22,4.9,1
BIOL,312,CELL BIOLOGY,"Lacefield,Soni",67,73,2.758,3.332,37.3,28.4,20.9,6,5
BIOL,313,CELL BIOLOGY LABORATORY,"Surzycki,Judith A.",47,49,3.745,3.511,74.5,25.5,0,0,1
BIOL,318,EVOLUTION,"Hahn,Matthew",89,101,3.282,3.411,51.7,34.8,7.9,5.6,3
BIOL,319,GENETICS LABORATORY,"Holdeman,Richard Brewster",34,44,3.421,3.344,50,41.2,8.8,0,5
BIOL,322,WRITING WORKSHOP IN BIOLOGY,"Malacinski,George M.",21,24,3.59,3.173,76.2,19,0,0,1
BIOL,323,MOLECULAR BIOLOGY LABORATORY,"Surzycki,Stefan J.",14,17,3.886,3.367,92.9,7.1,0,0,0
BIOL,323,MOLECULAR BIOLOGY LABORATORY,"Surzycki,Stefan J.",16,18,3.819,3.517,87.5,12.5,0,0,0
BIOL,326,BIODIVERSE-CITY,"Reynolds,Heather L",29,33,3.793,3.456,79.3,20.7,0,0,1
BIOL,331,INTRODUCTION TO HUMAN GENETICS,"Surzycki,Stefan J.",26,33,3.608,3.129,69.2,26.9,3.8,0,5
BIOL,340,BIOL BASIS OF SEX DIFFERENCES,"Smith,G Troy",30,34,3.027,3.116,30,53.3,13.3,0,1
BIOL,350,ENVIRONMENTAL BIOLOGY,"Mojonnier,Laura Ellen",23,25,3.687,2.972,73.9,26.1,0,0,1
BIOL,376,BIOLOGY OF BIRDS,"Hengeveld,Susan E.",31,33,3.352,3.344,41.9,48.4,9.7,0,1
