DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
FRIT,100,ELEMENTARY FRENCH I,"Cui,Yuanshuai",19,26,2.189,2.591,10.5,36.8,26.3,10.5,3,4,0,0
FRIT,100,ELEMENTARY FRENCH I,"Cui,Yuanshuai",15,25,2.673,2.84,33.3,33.3,20,0,5,5,0,0
FRIT,100,ELEMENTARY FRENCH I,"El-Murr,Leila Marie Rose",12,21,2.175,2.818,16.7,25,33.3,16.7,4,5,0,0
FRIT,100,ELEMENTARY FRENCH I,"Tchatchou Wandji,Marcel",13,22,2.208,2.723,7.7,38.5,30.8,15.4,2,7,0,0
FRIT,115,ACCELERATED ELEMENTARY FRENCH,"Vredenburgh,Amanda Jane",11,13,3.218,3.563,54.5,36.4,0,0,0,2,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Duncan,Alana Christine",22,23,2.609,3.084,13.6,45.5,31.8,9.1,0,1,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Panwitz,Amber Rae",20,22,2.165,2.863,15,25,30,20,0,1,1,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Merinnage De Costa,Rishani Samari",20,22,2.985,3.254,35,35,25,5,1,0,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Duncan,Alana Christine",21,23,2.352,2.996,4.8,52.4,23.8,14.3,2,0,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Panwitz,Amber Rae",10,15,2.53,3.083,20,30,30,20,2,3,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Evans,Scott Anthony",22,24,2.559,3.165,18.2,50,13.6,4.5,1,1,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Merinnage De Costa,Rishani Samari",21,23,2.862,3.104,28.6,47.6,14.3,4.8,0,2,0,0
FRIT,150,ELEM FRENCH II: LANG & CUL,"Long,Jeffrey Allen",14,24,3.221,3.129,35.7,57.1,7.1,0,5,5,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Owen,Jill Renee",14,20,2.1,2.871,14.3,21.4,28.6,35.7,2,4,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Robu,Cristina",21,26,2.586,3.098,9.5,61.9,23.8,0,1,4,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Uzzell,Renata Christina",23,26,3.03,3.246,34.8,52.2,0,8.7,1,2,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Uzzell,Renata Christina",21,25,2.943,3.157,23.8,61.9,9.5,0,2,2,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Maillot,Martin",22,26,3.386,3.167,68.2,13.6,13.6,4.5,1,2,0,0
FRIT,200,SEC YR FRENCH I: LANG & CULTR,"Gilbert,Charlene",17,23,3.665,3.224,70.6,23.5,5.9,0,0,6,0,0
FRIT,226,FRENCH SOCIETY: TOPICS,"Wood,Lucas George",26,32,2.838,3.073,26.9,46.2,19.2,3.8,3,3,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Black,Mark Alan",17,20,3.024,3.121,35.3,35.3,29.4,0,1,2,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Allen,Manali",21,23,3.129,3.26,38.1,47.6,4.8,9.5,1,1,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Okamoto-Macphail,Aiko",9,13,3,3.161,22.2,55.6,22.2,0,2,2,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Black,Mark Alan",14,15,3.079,3.285,50,28.6,14.3,0,0,1,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Myers,Elizabeth Grace",9,12,2.789,3.171,33.3,44.4,11.1,0,0,3,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Allen,Manali",22,24,2.827,3.28,36.4,36.4,13.6,9.1,0,2,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Ladyga,Jacob Robert",15,20,2.667,3.13,13.3,53.3,20,13.3,1,4,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Myers,Elizabeth Grace",15,16,2.3,2.977,6.7,53.3,26.7,0,1,0,0,0
FRIT,250,SEC YR FRENCH II: LANG/CULTUR,"Cawthon,Christopher Scott",14,17,3.229,2.916,57.1,21.4,21.4,0,2,1,0,0
FRIT,265,ACCELERATED SECOND-YEAR FRENCH,"Khabarovskiy,Georgy",9,10,3.522,3.545,55.6,44.4,0,0,0,1,0,0
FRIT,300,READING & EXPRESSION IN FRENCH,"Falantin,Flavien Michel Hugo",15,20,3.493,3.312,73.3,13.3,6.7,6.7,4,1,0,0
FRIT,300,READING & EXPRESSION IN FRENCH,"Gray,Margaret E.",15,20,3.407,3.401,33.3,60,6.7,0,0,5,0,0
FRIT,300,READING & EXPRESSION IN FRENCH,"Panaite,Oana",16,18,3.175,3.281,50,37.5,6.3,0,1,1,0,0
FRIT,306,FICTION AND POETRY,"Valazza,Nicolas",10,10,3.57,3.501,60,40,0,0,0,0,0,0
FRIT,313,ADVANCED GRAMMAR,"Calhoun,Alison B",19,21,3.368,3.593,47.4,42.1,10.5,0,2,0,0,0
FRIT,313,ADVANCED GRAMMAR,"MacPhail,Eric M",11,13,3.218,3.237,45.5,36.4,18.2,0,1,1,0,0
FRIT,316,CONVERSATIONAL PRACTICE,"Bastin,Kathryn Rife",16,17,3.3,3.506,68.8,12.5,12.5,0,0,1,0,0
FRIT,316,CONVERSATIONAL PRACTICE,"Lindstrom,Noelle",14,18,3.5,3.447,64.3,21.4,14.3,0,0,4,0,0
FRIT,316,CONVERSATIONAL PRACTICE,"Falantin,Flavien Michel Hugo",13,16,3.262,3.316,46.2,46.2,0,7.7,1,2,0,0
FRIT,317,FRENCH IN THE BUSINESS WORLD,"Ansart,Guillaume",14,15,3.164,3.396,42.9,35.7,14.3,7.1,0,1,0,0
FRIT,361,LA FRANCE MEDIEVALE (A 1500),"Wood,Lucas George",7,10,3.671,3.345,71.4,28.6,0,0,0,2,1,0
FRIT,362,LA FRANCE 1500-1800,"Calhoun,Alison B",24,26,3.479,3.484,66.7,25,4.2,4.2,1,1,0,0
FRIT,375,THÈMES LITTÉRAIRES & CULTURELS,"Gray,Margaret E.",15,17,3.48,3.445,66.7,26.7,6.7,0,0,2,0,0
FRIT,401,STRUCTURE & DEVEL OF FRENCH,"Vance,Barbara S.",13,17,3.477,3.382,61.5,38.5,0,0,3,1,0,0
FRIT,450,CULTURE/SOCIETY IN FR STUDIES,"Panaite,Oana",17,21,3.606,3.5,58.8,41.2,0,0,3,1,0,0
FRIT,492,READING FRENCH FOR GRAD STDNTS,"Tindira,Jessica Lynn",9,11,3.933,3.912,100,0,0,0,1,1,0,0
FRIT,536,LE ROMAN AU XVIII SIECLE,"Ansart,Guillaume",10,10,3.58,3.846,70,30,0,0,0,0,0,0
FRIT,573,METH OF COLLEGE FRENCH TCHNG,"Sax,Kelly Jean",7,7,3.957,3.771,100,0,0,0,0,0,0,0
FRIT,579,INTRO TO FRENCH MORPHOLOGY,"Auger,Julie",7,8,3.157,3.605,71.4,14.3,0,0,0,0,1,0
FRIT,671,ADVANCED FRENCH SYNTAX,"Vance,Barbara S.",7,7,3.2,3.539,71.4,14.3,0,0,0,0,0,0
FRIT,100,ELEMENTARY ITALIAN I,"Love,Anna Elizabeth",14,24,2.957,2.948,50,21.4,14.3,7.1,3,7,0,0
FRIT,100,ELEMENTARY ITALIAN I,"Love,Anna Elizabeth",19,24,3.305,2.997,73.7,5.3,10.5,5.3,2,3,0,0
FRIT,100,ELEMENTARY ITALIAN I,"Borgonovi,Rosa",17,25,3.059,2.828,52.9,23.5,11.8,0,2,6,0,0
FRIT,100,ELEMENTARY ITALIAN I,"Love,Anna Elizabeth",15,18,2.74,2.818,40,33.3,6.7,6.7,1,2,0,0
FRIT,115,ACCELERATED ELEMENTARY ITALIAN,"Serafin,Karolina",15,16,3.667,3.644,73.3,20,6.7,0,0,1,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Vacchelli,Carlotta",17,24,2.606,2.922,35.3,35.3,0,11.8,5,2,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Gregori,Luisa",20,23,3.02,3.143,40,30,25,5,2,1,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Vacchelli,Carlotta",10,14,3.04,3.201,30,50,20,0,2,2,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Tripano,Pietro",17,23,2.7,3.017,29.4,41.2,17.6,5.9,0,6,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Samarini,Francesco",21,23,3.319,3.5,66.7,14.3,9.5,4.8,1,1,0,0
FRIT,150,ELEMENTARY ITALIAN II,"Gregori,Luisa",15,15,2.493,2.863,33.3,20,26.7,6.7,0,0,0,0
FRIT,200,INTERMEDIATE ITALIAN I,"Gregori,Luisa",19,22,2.158,2.888,26.3,26.3,15.8,15.8,2,1,0,0
FRIT,200,INTERMEDIATE ITALIAN I,"Cabrini,Leonardo",9,11,2.811,3.118,33.3,22.2,33.3,11.1,0,2,0,0
FRIT,215,ACCELERATED SECND-YEAR ITALIAN,"Serafin,Karolina",11,11,3.6,3.57,54.5,45.5,0,0,0,0,0,0
FRIT,222,TOPICS IN ITALIAN CULTURE,"Ryan,Colleen Marie",35,45,3.651,3.404,68.6,31.4,0,0,2,8,0,0
FRIT,236,DANTE'S DIVINE COMEDY,"Storey,H. Wayne",19,23,2.758,3.176,31.6,21.1,42.1,5.3,2,2,0,0
FRIT,250,INTERMEDIATE ITALIAN II,"Mioni,Lino",13,16,2.538,3.126,30.8,30.8,7.7,23.1,1,2,0,0
FRIT,250,INTERMEDIATE ITALIAN II,"Bagnasco,Marzia",17,18,2.471,3.184,5.9,47.1,35.3,11.8,1,0,0,0
FRIT,250,INTERMEDIATE ITALIAN II,"Vitti,Alicia Maria",21,22,2.776,3.133,28.6,28.6,33.3,9.5,0,0,0,0
FRIT,250,INTERMEDIATE ITALIAN II,"Vitti,Alicia Maria",12,14,3.083,3.319,25,58.3,16.7,0,2,0,0,0
FRIT,301,ITALIAN READING & EXPRESSION,"Vitti,Alicia Maria",14,14,3.814,3.565,85.7,14.3,0,0,0,0,0,0
FRIT,305,CIVILTA ITALIANA MODERNA,"Vitti,Antonio Carlo",7,11,2.957,3.214,42.9,42.9,0,0,4,0,0,0
FRIT,453,20TH CENT ITAL LIT & CULTURE,"Ryan,Colleen Marie",10,12,3.91,3.418,100,0,0,0,1,0,1,0
FRIT,603,SEM IN MEDIEVAL ITALIAN LIT,"Storey,H. Wayne",6,6,4,3.944,100,0,0,0,0,0,0,0
FRIT,100,UNDISTRIBUTED OVERSEAS STUDY,,18,18,3.85,3.537,83.3,16.7,0,0,0,0,0,0
FRST,400,SPECIAL TPCS IN FOREIGN STUDY,,12,12,3.608,3.257,58.3,41.7,0,0,0,0,0,0
GEOG,109,WEATHER & CLIMATE,"Matheus,Trevis Jared",79,91,2.915,2.92,35.4,36.7,21.5,3.8,6,6,0,0
GEOG,110,INTRO TO HUMAN GEOGRAPHY,"Brown,Lillian Georgia",40,54,2.96,2.941,27.5,55,2.5,10,5,9,0,0
GEOG,120,REGIONS OF THE WORLD,"Akhter,Majed Saeed",126,166,3.29,3.173,48.4,39.7,7.1,3.2,8,30,0,0
GEOG,185,ENVIR CHG:END OF WRLD AS KNOWN,"Minard,Sara Lynne",81,99,2.881,2.834,19.8,54.3,22.2,2.5,7,11,0,0
GEOG,208,ENVIRONMENT AND SOCIETY,"Lave,Rebecca",56,64,3.168,3.056,50,25,23.2,1.8,4,4,0,0
GEOG,208,ENVIRONMENT AND SOCIETY,"Yoder,Landon",41,52,3.71,3.255,85.4,9.8,4.9,0,4,7,0,0
GEOG,218,EDIBLE EDUCATION,"Ipsen,Carl David",13,20,3.438,3.089,69.2,23.1,0,0,1,6,0,0
GEOG,237,MAPPING OUR WORLD,"Roy,Samapriya",85,97,3.569,3.265,64.7,31.8,3.5,0,1,11,0,0
GEOG,250,COMPUTING IN GEOSPATIAL SCI,"Robeson,Scott M.",22,24,2.673,3.174,31.8,36.4,13.6,9.1,0,2,0,0
GEOG,306,"CURR ISS GLOB, DEV & JUSTICE","Babb,Angela M",18,30,3.033,2.708,44.4,27.8,16.7,5.6,6,6,0,0
GEOG,306,"CURR ISS GLOB, DEV & JUSTICE","Bledsoe,Adam Charles",13,15,2.615,2.856,23.1,38.5,15.4,23.1,1,1,0,0
GEOG,307,BIOGEOGRAPHY: DIST OF LIFE,"Maxwell,Justin Timothy",35,38,3.489,3.17,51.4,48.6,0,0,0,3,0,0
GEOG,338,GEOGRAPHIC INFORMATION SCIENCE,"Ficklin,Darren",23,24,3.483,3.191,69.6,13,17.4,0,1,0,0,0
GEOG,369,THE GEOGRAPHY OF FOOD,"Minard,Sara Lynne",19,20,2.742,3.061,15.8,57.9,15.8,10.5,0,1,0,0
GEOG,369,THE GEOGRAPHY OF FOOD,"Seifers,Laura Alison",19,21,3.674,3.404,78.9,15.8,5.3,0,0,2,0,0
GEOG,369,THE GEOGRAPHY OF FOOD,"Solomon,Allison Vaughn",17,25,3.571,3.044,76.5,17.6,0,0,2,6,0,0
GEOG,388,QUALITATIVE METHODS IN GEOG,"Ashutosh,Ishan",7,7,3.814,3.206,85.7,14.3,0,0,0,0,0,0
GEOG,427,RUSSIA AND ITS NEIGHBORS,"Zlotin,Roman",7,9,3.043,2.627,28.6,42.9,28.6,0,0,2,0,0
GEOG,436,ADVANCED REMOTE SENSING,"Hwang,Tae Hee",8,11,3.5,3.018,50,50,0,0,1,2,0,0
GEOG,438,ADV GEOGRAPHIC INFO SCIENCE,"Ficklin,Darren",13,16,3.038,3.294,53.8,23.1,7.7,15.4,0,3,0,0
GEOG,478,"GLOBAL CHANGE,FOOD&FARMNG SYST","Minard,Sara Lynne",28,40,3.093,3.22,28.6,57.1,10.7,0,4,8,0,0
GEOG,501,RSCH PROBLEMS IN GEOGRAPHY II,"Robeson,Scott M.",6,6,3.95,3.836,100,0,0,0,0,0,0,0
GEOG,538,GEOGRAPHIC INFORMATION SYSTEMS,"Ficklin,Darren",7,7,3.871,3.724,100,0,0,0,0,0,0,0
GEOG,539,ADV GEOGRAPHIC INFO SYSTEMS,"Ficklin,Darren",7,7,4,3.908,100,0,0,0,0,0,0,0
GEOG,603,"TOP SEM GLBLZTN, DVLPMNT & JST","Akhter,Majed Saeed",9,10,4,3.86,100,0,0,0,0,1,0,0
GEOL,103,EARTH SCIENCE-MATLS/PROCESSES,"Johnson,Kaj",20,25,2.645,2.78,20,45,30,0,0,5,0,0
GEOL,104,EVOLUTION OF THE EARTH,"Njau,Jackson K",63,70,3.133,3.078,44.4,28.6,19,7.9,2,5,0,0
GEOL,105,EARTH: OUR HABITABLE PLANET,"Elswick,Erika R.",93,110,2.442,3.177,11.8,34.4,40.9,9.7,7,10,0,0
GEOL,114,DINOSAURS AND THEIR RELATIVES,"Polly,P. David",62,76,2.813,2.842,19.4,51.6,22.6,4.8,7,7,0,0
GEOL,122,INTRO TO ATMOSPHERIC SCIENCE,"Staten,Paul William",15,19,2.9,2.671,40,33.3,13.3,13.3,2,2,0,0
GEOL,131,OCEANS & OUR GLOBAL ENVIR,"Brassell,Simon Christopher",50,94,2.756,3.047,28,42,18,4,26,14,3,0
GEOL,144,EXTREME WEATHER AND ITS IMPACT,"Kieu,Chanh",61,74,3.138,3.197,29.5,59,9.8,0,6,7,0,0
GEOL,222,INTRODUCTION TO PETROLOGY,"Wintsch,Robert P.",18,18,2.739,3.406,5.6,61.1,33.3,0,0,0,0,0
GEOL,225,EARTH MATERIALS,"Ripley,Edward M",10,11,3.1,2.856,40,40,10,10,1,0,0,0
GEOL,323,STRUCTURAL GEOLOGY,"Douglas,Bruce James",9,12,3.389,3.255,22.2,77.8,0,0,0,0,3,0
GEOL,332,ATMOS THERMODYN/CLD PROCS,"Kirkpatrick,Cody",13,13,3.446,3.114,53.8,46.2,0,0,0,0,0,0
GEOL,341,NATURAL HISTORY OF CORAL REEFS,"Johnson,Claudia Christina",47,50,3.226,3.102,51.1,34,6.4,8.5,1,2,0,0
GEOL,412,INTRO TO VERT PALEO,"Polly,P. David",11,12,3.8,3.12,90.9,9.1,0,0,0,0,1,0
GEOL,423,METHODS IN APPLIED GEOPHYSICS,"Pavlis,Gary Lee",8,11,3.638,3.522,75,25,0,0,0,3,0,0
GEOL,474,TOPICS IN ATMOSPHERIC SCI,"Kirkpatrick,Cody",9,10,3.378,3.183,66.7,11.1,22.2,0,0,1,0,0
GEOL,476,CLIMATE CHANGE SCIENCE,"Kieu,Chanh",18,21,3.45,3.37,50,50,0,0,2,1,0,0
GEOL,490,UNDERGRADUATE SEMINAR,"Hamburger,Michael W.",6,8,3.95,3.337,100,0,0,0,2,0,0,0
GEOL,576,CLIMATE CHANGE,"Kieu,Chanh",6,6,3.95,3.842,100,0,0,0,0,0,0,0
GEOL,582,MATH MODELING IN GEOSC,"Edmonds,Douglas",12,12,3.617,3.865,66.7,33.3,0,0,0,0,0,0
GEOL,612,INVERSE METHODS IN GEOPHYSICS,"Johnson,Kaj",6,6,3.833,3.866,83.3,16.7,0,0,0,0,0,0
GEOL,690,ADVANCED GEOLOGY SEMINAR,"Yanites,Brian",6,6,4,3.822,100,0,0,0,0,0,0,0
GEOL,690,ADVANCED GEOLOGY SEMINAR,"Hamburger,Michael W.",6,8,4,3.766,100,0,0,0,0,2,0,0
GER,121,AN INTRO TO GERMAN CULTURE,"Weiner,Marc A.",28,36,3.529,3.237,64.3,32.1,0,3.6,3,5,0,0
GER,321,GENDER & SEXUALITY IN GERMANY,"Breger,Claudia",10,11,3.63,3.361,70,20,10,0,1,0,0,0
GER,336,INTRO STRUCTURE GER LANGUAGES,"Hall,Tracy Alan",21,21,3.029,3.339,33.3,42.9,14.3,9.5,0,0,0,0
GER,100,BEGINNING GERMAN I,"Morais,Nina",16,24,2.713,2.895,25,37.5,31.3,0,5,2,0,0
GER,100,BEGINNING GERMAN I,"Morais,Nina",19,26,3.1,3.028,36.8,42.1,15.8,0,3,3,0,0
GER,100,BEGINNING GERMAN I,"Flego,Stefon M",21,23,3.057,2.963,47.6,23.8,23.8,4.8,0,2,0,0
GER,150,BEGINNING GERMAN II,"Evans,Elliott",9,9,2.711,2.995,33.3,33.3,11.1,22.2,0,0,0,0
GER,150,BEGINNING GERMAN II,"Czerw,Lee Alexander",15,18,2.807,2.908,20,46.7,33.3,0,0,3,0,0
GER,150,BEGINNING GERMAN II,"Cattell,Cassandra Faith",16,19,3.194,3.077,43.8,37.5,18.8,0,0,3,0,0
GER,150,BEGINNING GERMAN II,"Langjahr,Nikole",17,17,3.4,3.318,58.8,29.4,11.8,0,0,0,0,0
GER,150,BEGINNING GERMAN II,"Rylander,Luke William",12,13,3,3.119,25,50,25,0,0,1,0,0
GER,150,BEGINNING GERMAN II,"Swakopf,Benjamin Riley",15,16,2.773,3.012,13.3,53.3,26.7,6.7,0,1,0,0
GER,150,BEGINNING GERMAN II,"Bryant,Michael Charles",13,15,2.785,2.939,38.5,15.4,46.2,0,1,1,0,0
GER,200,INTERMEDIATE GERMAN I,"Christner,Bettina",18,23,2.8,2.998,33.3,38.9,11.1,11.1,2,2,0,0
GER,200,INTERMEDIATE GERMAN I,"Christner,Bettina",19,25,3.095,3.107,36.8,42.1,21.1,0,3,3,0,0
GER,200,INTERMEDIATE GERMAN I,"Cervantes,Ekaterina D",10,15,2.73,2.829,40,20,10,30,1,3,0,0
GER,250,INTERMEDIATE GERMAN II,"Fink,Maria",21,25,2.829,3.119,19,47.6,33.3,0,0,4,0,0
GER,250,INTERMEDIATE GERMAN II,"Spafford,Anna Christine",24,26,2.904,3.191,16.7,62.5,16.7,4.2,0,2,0,0
GER,250,INTERMEDIATE GERMAN II,"Amendolia,Brittany Jean",26,27,4,3.262,100,0,0,0,0,1,0,0
GER,250,INTERMEDIATE GERMAN II,"Wuensch,Juliane",19,23,2.379,2.949,10.5,31.6,52.6,5.3,0,4,0,0
GER,300,FIFTH-SEMESTER COLLEGE GERMAN,"Byler,Troy Patrick",10,11,2.36,3.105,20,30,30,0,0,1,0,0
GER,300,FIFTH-SEMESTER COLLEGE GERMAN,"Byler,Troy Patrick",7,11,3.471,3.399,42.9,57.1,0,0,2,0,0,0
GER,330,SIXTH-SEMESTER COLLEGE GERMAN,"Bolter,David Joseph",15,15,3.407,3.39,46.7,53.3,0,0,0,0,0,0
GER,330,SIXTH-SEMESTER COLLEGE GERMAN,"Karyekar,Madhuvanti Chintamani",8,10,2.95,3.053,12.5,62.5,25,0,1,1,0,0
GER,334,INTRO GERMAN THOUGHT & CULTURE,"Robinson,Benjamin Butt",10,16,3.4,3.298,40,60,0,0,1,5,0,0
GER,375,CONVERSATIONAL GERMAN,"Langjahr,Nikole",14,15,3.693,3.488,92.9,0,0,0,0,0,1,0
GER,400,ADVANCED COLLEGE GERMAN,"Kruger,Franziska",10,11,3.64,3.349,70,30,0,0,0,1,0,0
GER,424,LIT AND SOCIETY SINCE 1945,"Breger,Claudia",14,17,3.821,3.424,92.9,7.1,0,0,1,2,0,0
GER,492,READ IN GER FOR GRAD STUDENTS,"Ewing,JohnPaul",14,14,3.6,3.838,78.6,14.3,0,7.1,0,0,0,0
GER,573,HIST STUDY OF GERMAN LIT II,"Rasch,William W.",12,13,4,3.941,100,0,0,0,1,0,0,0
GER,632,GOTHIC,"Gade,Kari Ellen",9,10,3.967,3.856,100,0,0,0,0,0,0,0
GER,150,BEGINNING NORWEGIAN II,"May,Gergana Gueorguieva",8,8,3.763,3.252,87.5,12.5,0,0,0,0,0,0
GER,250,INTERMEDIATE NORWEGIAN II,"Gade,Kari Ellen",14,16,2.55,3.075,21.4,35.7,28.6,7.1,1,1,0,0
GER,150,INTENSIVE DUTCH II,"Haitjema,Bieneke A",9,9,3.589,3.336,55.6,44.4,0,0,0,0,0,0
GER,250,"DUTCH READING, COMP & CONV II","Haitjema,Bieneke A",9,9,3.256,3.16,33.3,55.6,11.1,0,0,0,0,0
GLLC,320,GLOBAL VILLAGE SYMPOSIUM,"Coyle,Gene Arthur",9,12,3.3,3.186,66.7,22.2,0,0,2,1,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Gutierrez Lopez,Daniela Alejandra",25,29,3.568,3.024,76,20,0,0,0,4,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Bossenger,Alyssa",24,26,3.304,3.189,41.7,50,4.2,4.2,1,1,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Bossenger,Alyssa",22,32,3.214,3.028,40.9,50,4.5,0,2,8,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Johnson,Colin R.",19,21,3.874,3.759,100,0,0,0,2,0,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Watson,Xavier Matthew",22,26,3.782,3.204,86.4,13.6,0,0,1,1,2,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Watson,Xavier Matthew",24,27,3.758,3.349,83.3,16.7,0,0,1,2,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Savit,Lauren Elizabeth",25,26,3.672,3.447,76,20,4,0,0,1,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Savit,Lauren Elizabeth",25,30,3.612,3.234,60,40,0,0,0,5,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Zale,Jennifer Ann",22,30,3.25,2.991,54.5,31.8,4.5,9.1,3,5,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Zale,Jennifer Ann",23,27,3.596,3.317,65.2,30.4,4.3,0,2,2,0,0
GNDR,101,"GENDER, CULTURE, AND SOCIETY","Gutierrez Lopez,Daniela Alejandra",19,28,3.889,3.174,100,0,0,0,6,3,0,0
GNDR,104,TOPICS IN GENDER STUDIES,"Cleary,Krystal Lee",19,31,2.942,3.019,52.6,15.8,21.1,5.3,1,11,0,0
GNDR,104,TOPICS IN GENDER STUDIES,"Stephens,Amanda Layne",12,19,3.917,3.025,91.7,8.3,0,0,0,6,1,0
GNDR,205,THEMES IN GENDER STUDIES,"Jones,Jennifer Lynn",20,26,3.505,3.071,55,45,0,0,5,1,0,0
GNDR,225,GENDER SEXUALITY & POP CULTURE,"Maher,Jennifer Elizabeth",59,73,3.419,3.286,62.7,30.5,5.1,0,5,8,0,0
GNDR,225,GENDER SEXUALITY & POP CULTURE,"Weber,Brenda",38,47,3.774,3.416,78.9,21.1,0,0,0,9,0,0
GNDR,225,GENDER SEXUALITY & POP CULTURE,"Vaccaro,Jeanne",49,75,2.704,2.819,28.6,36.7,20.4,8.2,11,15,0,0
GNDR,225,GENDER SEXUALITY & POP CULTURE,"Weber,Brenda",37,46,3.678,3.274,73,24.3,2.7,0,0,9,0,0
GNDR,300,CORE CONCEPTS AND KEY DEBATES,"Taylor,Catherine Jeanine",20,22,3.375,3.387,60,35,0,0,0,2,0,0
GNDR,302,ISSUES IN GENDER STUDIES,"Breger,Claudia",14,17,3.421,3.144,35.7,64.3,0,0,1,2,0,0
GNDR,310,REPRESENTATION & THE BODY,"Vaccaro,Jeanne",31,42,3.513,3.178,51.6,45.2,3.2,0,4,7,0,0
GNDR,330,LOOKING LIKE A FEMINIST,"Vaccaro,Jeanne",31,38,3.565,3.254,61.3,38.7,0,0,1,6,0,0
GNDR,335,EXPLAINING SEX/GENDER DIFFRNCE,"Sanders,Stephanie A.",32,36,2.9,3.064,28.1,53.1,9.4,3.1,1,3,0,0
GNDR,350,QUEER THEORY,"Fair,Freda L",22,33,3.386,3.143,50,45.5,4.5,0,10,1,0,0
GNDR,402,PROBLEMS IN GENDER STUDIES,"Foster,Laura",9,12,3.111,3.123,55.6,22.2,11.1,0,1,2,0,0
GNDR,402,PROBLEMS IN GENDER STUDIES,"Fair,Freda L",10,13,3.65,3.173,80,20,0,0,0,3,0,0
GNDR,410,INTERNATIONAL FEMINIST DEBATES,"Bucur-Deckard,Maria",54,59,3.639,3.402,81.5,11.1,3.7,0,2,3,0,0
GNDR,490,"GENDER, RACE, SEXUALITY, & LAW","Foster,Laura",18,23,3.589,3.197,61.1,33.3,5.6,0,2,3,0,0
GNDR,498,SEMINAR IN GENDER STUDIES,"Johnson,Colin R.",9,13,3.644,3.289,77.8,22.2,0,0,1,2,1,0
GNDR,603,FEMINIST THEORIES,"Friedman,Sara Lizbeth",8,8,3.688,3.829,87.5,12.5,0,0,0,0,0,0
GNDR,710,"GENDER, MEDICINE AND THE BODY","Sanders,Stephanie A.",11,12,3.855,3.808,90.9,9.1,0,0,0,0,1,0
GNDR,714,"GENDER, RACE, AND MEDIA","Peoples,Gabriel Allen",11,12,3.709,3.875,81.8,18.2,0,0,0,1,0,0
HISP,100,UNDISTRIBUTED OVERSEAS STUDY,,20,20,3.785,3.401,80,20,0,0,0,0,0,0
HISP,100,UNDISTRIBUTED OVERSEAS STUDY,,20,20,3.89,3.462,95,5,0,0,0,0,0,0
HISP,135,INTENSIVE PORTUGUESE,"Martins,Ricardo",12,13,3.142,3.488,41.7,41.7,8.3,8.3,1,0,0,0
HISP,250,SECOND-YEAR PORTUGUESE II,"Pecorelli,Joseph Dominic",13,14,3.6,3.49,69.2,30.8,0,0,0,1,0,0
HISP,317,READING & CONV IN PORTUGUESE,"Vieira,Nilzimar",10,13,3.72,3.528,90,10,0,0,0,2,0,0
HISP,410,BRAZILIAN CINEMA,"Namorato,Luciana",6,9,3.233,3.447,66.7,16.7,0,16.7,2,1,0,0
HISP,491,ELEM PORT FOR GRAD STUDENTS,"Martins,Ricardo",7,7,3.714,3.67,71.4,28.6,0,0,0,0,0,0
