DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",40,43,2.815,3.329,32.5,37.5,15,15,1,2,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",35,43,2.623,3.246,37.1,22.9,20,8.6,5,3,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",36,42,2.719,3.22,22.2,44.4,22.2,11.1,5,1,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",35,45,2.449,3.138,28.6,20,25.7,20,6,4,0,0
ANAT,464,HUMAN TISSUE BIOLOGY,"Foley,John G",45,54,3.249,3.462,46.7,40,11.1,0,5,3,0,0
ANTH,107,BECOMING HUMAN: EVOLUTION,"Ruck,Lana Melanie",30,39,3.55,3.36,60,40,0,0,0,9,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,27,3.227,2.83,36.4,59.1,0,0,2,3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",13,17,3.385,2.763,38.5,61.5,0,0,1,3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,27,3.67,3.125,82.6,17.4,0,0,2,2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",21,25,3.252,2.727,47.6,38.1,9.5,0,3,1,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",20,25,3.505,3.132,65,25,10,0,1,4,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,26,2.83,2.77,43.5,26.1,13,8.7,1,2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",15,23,3.193,2.931,40,46.7,6.7,0,0,8,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",10,16,3.17,2.596,20,80,0,0,2,4,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",18,21,3.206,2.994,55.6,22.2,16.7,0,0,3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",10,14,3.23,3.02,40,50,0,10,0,4,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,26,3.427,3.041,59.1,31.8,4.5,4.5,2,2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",24,25,3.583,3.208,79.2,16.7,0,4.2,0,1,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",24,27,2.783,2.842,20.8,54.2,16.7,4.2,0,3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",23,30,2.757,2.791,17.4,56.5,17.4,4.3,0,7,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",9,17,2.956,2.727,33.3,44.4,11.1,0,2,6,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",22,27,3.223,3.057,36.4,59.1,4.5,0,2,3,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",8,12,3.038,2.728,37.5,37.5,12.5,12.5,2,2,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Robinson,Jennifer Meta",19,26,2.6,2.572,21.1,52.6,5.3,10.5,5,2,0,0
ANTH,200,TOPICS ANTH CULTURE AND SOC,"Gilley,Brian Joseph",21,28,3.524,3.086,81,9.5,0,0,2,5,0,0
ANTH,208,ANTH:ARTS&EXPRESSIVE BEHAVIOR,"Greene,Shane",89,100,3.547,3.214,59.6,36,4.5,0,0,11,0,0
ANTH,211,ANTH: TOPICS IN THE SCIENCES,"Ireland,Ellen Meghann",26,30,3.492,3.08,69.2,19.2,7.7,3.8,1,3,0,0
ANTH,410,ANTHROPOLOGY CAPSTONE SEMINAR,"Pyburn,K. Anne",11,13,3.791,3.096,81.8,18.2,0,0,1,1,0,0
ANTH,595,GRADUATE READINGS IN ANTH,"Sept,Jeanne M",7,14,3.9,3.924,85.7,14.3,0,0,1,0,0,6
ANTH,200,BIOANTHROPOLOGY,"Wiley,Andrea S.",147,165,2.61,3.094,21.1,34,34,8.8,12,6,0,0
ANTH,301,LABORATORY IN BIOANTHROPOLOGY,"Sacks,Lita",23,25,3.5,3.278,60.9,34.8,4.3,0,1,1,0,0
ANTH,310,BIOANTHROPOL: A HIST OF IDEAS,"Cook,Della C.",20,33,3.37,2.991,45,50,5,0,4,8,1,0
ANTH,370,HUMAN VARIATION,"Kaestle,Frederika Ann",79,93,3.725,3.139,77.2,21.5,1.3,0,9,5,0,0
ANTH,400,UNDERGRADUATE SEMINAR,"Wasserman,Michael David",8,8,3.625,3.287,62.5,37.5,0,0,0,0,0,0
ANTH,464,HUMAN PALAEONTOLOGY,"Hunt,Kevin D.",8,9,3.925,3.562,100,0,0,0,1,0,0,0
ANTH,466,THE PRIMATES,"Hunt,Kevin D.",12,13,3.617,3.232,91.7,0,0,0,0,1,0,0
